fips,median_household_income_2017,density_2010
18049,47108,56.6
18051,51149,68.7
18053,42046,169.2
18055,49648,61.1
18057,90582,696.4
18059,70973,228.8
18061,53897,81.2
18063,74245,357.4
18065,46131,126.2
18067,47958,282.4
18069,50063,97
18071,49080,83.2
18073,56574,59.8
18075,42878,55.4
18077,50722,89.9
18079,48362,75.7
18081,65272,435.8
18083,44837,74.5
18085,57190,145.6
18087,58336,97.8
18089,52559,994.1
18091,49921,186.3
18093,49985,102.7
18095,45432,291.3
18097,44869,2279.6
18099,51869,106.1
18101,49372,30.8
18103,46666,98.7
18105,45689,349.7
18107,53075,75.6
18109,60317,170.5
18111,52193,35.5
18113,52393,115.7
18115,58359,71.1
18117,42803,49.8
18119,48315,56
18121,44643,39
18123,49689,50.7
18125,50196,38.4
18127,65979,393
18129,60992,63.3
18131,47633,30.9
18133,55295,79
18135,44985,57.9
18137,53698,64.6
18139,47955,42.6
18141,48121,583
18143,49243,127
18145,57216,108.1
18147,55280,52.8
18149,45526,75.6
18151,52749,110.7
18153,45031,48
18155,43468,48.1
18157,50486,345.7
18159,53931,61.2
18161,45531,46.6
18163,44815,769.7
18165,45440,63.1
18167,42030,267.4
18169,49052,79.7
18171,58950,23.3
18173,66080,155.1
18175,46861,55
18177,41813,171.5
18179,53038,75.1
18181,51404,48.8
18183,57041,99.2
19001,49477,13.5
19003,49745,9.5
19005,47895,22.4
19007,40377,25.9
19009,48750,13.8
19011,64061,36.4
19013,50916,231.7
19015,57906,46
19017,65440,55.7
19019,59348,36.7
19021,52784,35.2
19023,53937,25.6
19025,46302,17
19027,54563,36.6
19029,45637,24.7
19031,62555,31.9
19033,50569,77.7
19035,53998,20.9
19037,50688,24.7
19039,49718,21.5
19041,48978,29.4
19043,51114,23.3
19045,50295,70.7
19047,51091,23.9
19049,82719,112.4
19051,52390,17.4
19053,41042,15.9
19055,60534,30.7
19057,47524,96.9
19059,59889,43.8
19061,59150,154
19063,47419,26
19065,48412,28.6
19067,48607,32.6
19069,48172,18.4
19071,54430,14.6
19073,52529,16.4
19075,65170,24.8
19077,56306,18.5
19079,55836,27.2
19081,57840,19.9
19083,52207,30.8
19085,57558,21.4
19087,52275,46.4
19089,51422,20.2
19091,48847,22.6
19093,51978,16.4
19095,58077,27.9
19097,51806,31.2
19099,56363,50.4
19101,44516,38.7
19103,59965,213.1
19105,58391,35.9
19107,48399,18.1
19109,54868,16
19111,48266,69.3
19113,62702,294.6
19115,54393,28.3
19117,47325,20.7
19119,62012,19.7
19121,60077,27.9
19123,50568,39.2
19125,57917,60.1
19127,52752,71
19129,67949,34.4
19131,53675,23
19133,41598,13.3
19135,50179,18.4
19137,43674,25.3
19139,56398,97.7
19141,56314,25.1
19143,53604,16.2
19145,46708,29.8
19147,50470,16.7
19149,61316,29
19151,45969,12.7
19153,63530,750.5
19155,56291,98
19157,51456,32.3
19159,50642,9.6
19161,53254,18
19163,57681,360.7
19165,55638,20.6
19167,66022,43.9
19169,52671,156.3
19171,56110,24.6
19173,46825,11.9
19175,47597,29.6
19177,47197,15.6
19179,43329,82.5
19181,71514,81.1
19183,59157,38.2
19185,42434,12.2
19187,42148,53.1
19189,50072,27.1
19191,60788,30.5
19193,51350,117.1
19195,50880,19
19197,48935,22.8
20001,43031,26.7
20003,40986,14
20005,46640,39.3
20007,52075,4.3
20009,46070,30.9
20011,39379,23.9
20013,46964,17.5
20015,62324,46.1
20017,42772,3.6
20019,39531,5.7
20021,41101,36.8
20023,47167,2.7
20025,46094,2.3
20027,55434,13.2
20029,44199,13.3
20031,58662,13.7
20033,51563,2.4
20035,46624,32.3
20037,38017,66.4
20039,41230,3.3
20041,49663,23.3
20043,50300,20.2
20045,54370,243.1
20047,50229,4.9
20049,39405,4.5
20051,49562,31.6
20053,48550,9.1
20055,51703,28.2
20057,49890,30.8
20059,53167,45.5
20061,46096,89.3
20063,50817,2.5
20065,43427,2.9
20067,57474,13.6
20069,61220,6.9
20071,47045,1.6
20073,41648,5.9
20075,48160,2.7
20077,48059,7.5
20079,55687,64.3
20081,53780,7.4
20083,55345,2.2
20085,53592,20.5
20087,58935,35.9
20089,43125,3.4
20091,81121,1149.6
20093,51439,4.6
20095,57593,9.1
20097,48226,3.5
20099,45706,33.5
20101,51765,2.4
20103,70022,164.7
20105,48693,4.5
20107,46576,16.3
20109,49926,2.6
20111,42992,39.8
20113,56946,32.5
20115,50212,13.4
20117,50420,11.2
20119,54167,4.7
20121,63501,57
20123,44591,9.1
20125,43977,55.1
20127,50338,8.5
20129,43813,4.4
20131,53368,14.2
20133,44402,28.9
20135,48412,2.9
20137,50673,6.5
20139,54186,23.1
20141,42173,4.3
20143,51797,8.5
20145,46224,9.2
20147,46806,6.4
20149,64410,25.7
20151,53415,13.1
20153,50893,2.4
20155,47897,51.4
20157,43489,6.9
20159,48333,13.9
20161,48428,116.6
20163,48352,5.8
20165,43594,4.6
20167,48427,7.9
20169,49728,77.2
20171,62198,6.9
20173,52841,499.6
20175,47535,35.9
20177,54667,327.1
20179,56607,2.9
20181,52030,5.7
20183,45357,4.3
20185,47121,5.6
20187,42222,3.3
20189,57500,7.9
20191,52695,20.4
20193,52465,7.4
20195,55197,3.4
20197,58947,8.9
20199,60000,1.6
20201,47992,6.5
20203,55109,3.1
20205,44468,16.5
20207,36493,6.6
20209,42783,1039
21001,36575,46
21003,40598,58
21005,51681,106.1
21007,42988,33.4
21009,39658,86.5
21011,38763,41.6
21013,23558,79.9
21015,72731,482.3
21017,47886,69
21019,45543,309.9
21021,43076,157.8
21023,40458,41.3
21025,25861,28.2
21027,44057,35.4
21029,59917,250.2
21031,39362,29.8
21033,46182,37.7
21035,39269,96.6
21037,57208,597
21039,38860,26.9
21041,43345,84.1
21043,35095,67.7
21045,33031,35.9
21047,41849,103.1
21049,51547,141.1
21051,24596,46.3
21053,31130,52.1
21055,41114,25.9
21057,35449,22.5
21059,48371,210.9
21061,41114,40.2
21063,29043,33.5
21065,30692,58
21067,53013,1042.8
21069,41095,41.2
21071,31196,100.3
21073,53539,237.2
21075,28274,33.2
21077,50250,84.8
21079,47906,73.5
21081,43881,95.6
21083,40369,67.3
21085,35944,51.8
21087,37388,39.4
21089,47517,107.2
21091,49135,45.6
21093,51923,169.3
21095,24451,62.9
21097,44620,61.5
21099,37315,44.2
21101,43458,105.9
21103,50787,53.9
21105,38036,20.2
21107,44048,86.6
21109,32055,39.1
21111,52237,1948.1
21113,55450,282.3
21115,35629,89.2
21117,58674,996.7
21119,30503,46.5
21121,26061,82.5
21123,41720,54.3
21125,37235,135.6
21127,32703,38.2
21129,23297,37.8
21131,27861,28.2
21133,30293,72.6
21135,32054,28.7
21137,37930,74.1
21139,43472,30.4
21141,40982,48.6
21143,50268,38.9
21145,42894,263.6
21147,19264,42.9
21149,44242,37.8
21151,46674,189.6
21153,29578,43.2
21155,40005,57.8
21157,49126,104.4
21159,29239,56.3
21161,43082,72.8
21163,53732,93.6
21165,39688,31
21167,47574,85.7
21169,35594,34.9
21171,35665,33.3
21173,42172,134.3
21175,33523,36.5
21177,40037,67.4
21179,55182,104
21181,38900,36.6
21183,41470,40.6
21185,92237,322.2
21187,44031,30.9
21189,22736,24.1
21191,49706,53.7
21193,31820,84.5
21195,32972,82.6
21197,34647,70.5
21199,35022,95.8
21201,30694,22.8
21203,35888,53.9
21205,36411,83.4
21207,34660,69.2
21209,65598,167.4
21211,63171,110.8
21213,44989,74
21215,68916,91.4
21217,36455,92
21219,38248,33.3
21221,47259,32.5
21223,50998,58.1
21225,42139,43.8
21227,49508,210.1
21229,47843,39.4
21231,33715,45.4
21233,39273,41
21235,34103,81.4
21237,21999,33.1
21239,60604,132.1
22001,40492,94.3
22003,42176,33.8
22005,74748,369.7
22007,48656,69.2
22009,36763,50.5
22011,47350,30.8
22013,34077,17.7
22015,52145,139.3
22017,40391,290.2
22019,48219,181.2
22021,31933,19.1
22023,60194,5.3
22025,34470,14.7
22027,26877,22.8
22029,30028,29.9
22031,41443,30.4
22033,51436,966.6
22035,20795,18.4
22037,46964,44.7
22039,31745,51.3
22041,34722,33.2
22043,40577,34.7
22045,44504,127.6
22047,47128,54
22049,36394,28.6
22051,50868,1463.1
22053,40744,48.5
22055,53950,824.6
22057,52705,90.2
22059,34712,23.8
22061,34424,99.1
22063,60456,197.5
22065,29424,19.4
22067,31672,35.2
22069,29001,31.6
22071,38721,2029.4
22073,40081,251.8
22075,49635,29.5
22077,43964,40.9
22079,42655,99.9
22081,41510,23.4
22083,34745,37.1
22085,40695,28
22087,45265,95.1
22089,64707,189.1
22091,35254,27.4
22093,52055,91.5
22095,53628,215.5
22097,32163,90.3
22099,47279,70.7
22101,41345,98.4
22103,66539,276.4
22105,45901,153
22107,21906,8.7
22109,47650,90.8
22111,38916,25.9
22113,49266,49.4
22115,46620,39.4
22117,32962,70.4
22119,30891,69.5
22121,60902,123.6
22123,37304,32.3
22125,55647,38.8
22127,29472,16.1
23001,49538,230.2
23003,39021,10.8
23005,65702,337.2
23007,45541,18.1
23009,51438,34.3
23011,50116,140.8
23013,53117,108.8
23015,54041,75.6
23017,44582,27.8
23019,47886,45.3
23021,38797,4.4
23023,60457,139.1
23025,41549,13.3
23027,50162,53.1
23029,40328,12.8
23031,62618,199
24001,42771,177
24003,94502,1295.9
24005,71810,1345.5
24009,100350,416.3
24011,52469,103.5
24013,90510,373.4
24015,70516,292
24017,93973,320.2
24019,50532,60.3
24021,88502,353.5
24023,48174,46.5
24025,83445,560.1
24027,115576,1144.9
24029,56638,72.9
24031,103178,1978.2
24033,78607,1788.8
24035,89241,128.5
24037,86508,294.4
24039,39239,82.8
24041,65595,140.7
24043,58260,322.1
24045,54493,263.7
24047,59458,109.9
24510,46641,7671.5
25001,68048,548.3
25003,55190,141.6
25005,62514,991.3
25007,67535,160.2
25009,73533,1508.8
25011,57307,102.1
25013,52205,751
25015,64974,299.8
25017,92878,1837.9
25019,91942,226.2
25021,95668,1693.6
25023,82081,750.9
25025,61242,12415.7
25027,69313,528.6
26001,39424,16.2
26003,42647,10.5
26005,58487,135
